
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  13%|█▎        | 63/500 [31:30<3:36:50, 29.77s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  13%|█▎        | 64/500 [32:00<3:36:33, 29.80s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  13%|█▎        | 65/500 [32:30<3:36:27, 29.86s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  13%|█▎        | 66/500 [33:00<3:36:23, 29.92s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  13%|█▎        | 67/500 [33:30<3:35:59, 29.93s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  14%|█▎        | 68/500 [34:00<3:35:06, 29.88s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  14%|█▍        | 69/500 [34:30<3:34:31, 29.86s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  14%|█▍        | 70/500 [35:00<3:34:20, 29.91s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  14%|█▍        | 71/500 [35:30<3:33:31, 29.86s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  14%|█▍        | 72/500 [36:00<3:33:27, 29.92s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  15%|█▍        | 73/500 [36:30<3:33:11, 29.96s/it]
[VAL] Best epoch 74 | Best val score -0.866008 | DKL-prior 0.000489 | BCE 0.453383 | auROC 0.8660:  15%|█▍        | 73/500 [37:00<3:33:11, 29.96s/it]
[VAL] Best epoch 74 | Best val score -0.866008 | DKL-prior 0.000489 | BCE 0.453383 | auROC 0.8660:  15%|█▍        | 73/500 [37:00<3:33:11, 29.96s/it]
[VAL] Best epoch 74 | Best val score -0.866008 | DKL-prior 0.000489 | BCE 0.453383 | auROC 0.8660:  15%|█▍        | 74/500 [37:00<3:33:19, 30.05s/it]
[VAL] Best epoch 74 | Best val score -0.866008 | DKL-prior 0.000489 | BCE 0.453383 | auROC 0.8660:  15%|█▌        | 75/500 [37:30<3:32:55, 30.06s/it]
[VAL] Best epoch 74 | Best val score -0.866008 | DKL-prior 0.000489 | BCE 0.453383 | auROC 0.8660:  15%|█▌        | 76/500 [38:00<3:32:39, 30.09s/it]
[VAL] Best epoch 74 | Best val score -0.866008 | DKL-prior 0.000489 | BCE 0.453383 | auROC 0.8660:  15%|█▌        | 77/500 [38:31<3:32:25, 30.13s/it]
[VAL] Best epoch 74 | Best val score -0.866008 | DKL-prior 0.000489 | BCE 0.453383 | auROC 0.8660:  16%|█▌        | 78/500 [39:01<3:32:02, 30.15s/it]
[VAL] Best epoch 79 | Best val score -0.866632 | DKL-prior 0.000445 | BCE 0.455117 | auROC 0.8666:  16%|█▌        | 78/500 [39:31<3:32:02, 30.15s/it]
[VAL] Best epoch 79 | Best val score -0.866632 | DKL-prior 0.000445 | BCE 0.455117 | auROC 0.8666:  16%|█▌        | 78/500 [39:31<3:32:02, 30.15s/it]
[VAL] Best epoch 79 | Best val score -0.866632 | DKL-prior 0.000445 | BCE 0.455117 | auROC 0.8666:  16%|█▌        | 79/500 [39:31<3:31:51, 30.19s/it]
